date,I,death,recover,E,R,S
2020/2/14,9,1,12,9,13,119999969
2020/2/15,24,1,12,24,13,119999939
2020/2/16,24,1,13,24,14,119999938
2020/2/17,24,1,12,24,13,119999939
2020/2/18,31,1,14,31,15,119999923
2020/2/19,35,1,16,35,17,119999913
2020/2/20,52,1,16,52,17,119999879
2020/2/21,62,1,16,62,17,119999859
2020/2/22,96,1,17,96,18,119999790
2020/2/23,108,1,17,108,18,119999766
2020/2/24,121,1,18,121,19,119999739
2020/2/25,125,1,23,125,24,119999726
2020/2/26,138,1,23,138,24,119999700
2020/2/27,161,3,30,161,33,119999645
2020/2/28,176,4,30,176,34,119999614
2020/2/29,188,5,31,188,36,119999588
2020/3/1,201,5,31,201,36,119999562
2020/3/2,212,6,32,212,38,119999538
2020/3/3,226,6,35,226,41,119999507
2020/3/4,258,6,37,258,43,119999441
2020/3/5,271,6,38,271,44,119999414
2020/3/6,323,6,56,323,62,119999292
2020/3/7,366,6,63,366,69,119999199
2020/3/8,377,6,67,377,73,119999173
2020/3/9,400,7,88,400,95,119999105
2020/3/10,437,9,89,437,98,119999028
2020/3/11,481,12,103,481,115,119998923
2020/3/12,520,15,108,520,123,119998837
2020/3/13,548,19,120,548,139,119998765
2020/3/14,591,21,129,591,150,119998668
2020/3/15,603,22,142,603,164,119998630
2020/3/16,621,24,149,621,173,119998585
2020/3/17,645,28,156,645,184,119998526
2020/3/18,659,29,176,659,205,119998477
2020/3/19,681,31,200,681,231,119998407
2020/3/20,723,33,212,723,245,119998309
2020/3/21,719,35,217,719,252,119998310
2020/3/22,743,36,257,743,293,119998221
2020/3/23,763,41,270,763,311,119998163
2020/3/24,816,42,285,816,327,119998041
2020/3/25,855,43,294,855,337,119997953
2020/3/26,920,45,343,920,388,119997772
2020/3/27,948,46,356,948,402,119997702
2020/3/28,1187,49,388,1187,437,119997189
2020/3/29,1358,52,408,1358,460,119996824
2020/3/30,1423,54,408,1423,462,119996692
2020/3/31,1594,56,408,1594,464,119996348
2020/4/1,1757,57,456,1757,513,119995973
2020/4/2,1980,60,489,1980,549,119995491
2020/4/3,2227,63,498,2227,561,119994985
2020/4/4,2553,69,559,2553,628,119994266
2020/4/5,2921,70,568,2921,638,119993520
2020/4/6,3132,73,575,3132,648,119993088
2020/4/7,3472,80,605,3472,685,119992371
2020/4/8,3914,81,615,3914,696,119991476
2020/4/9,4461,85,668,4461,753,119990325
2020/4/10,5063,88,697,5063,785,119989089
2020/4/11,5751,94,745,5751,839,119987659
2020/4/12,6239,98,767,6239,865,119986657
2020/4/13,6564,102,782,6564,884,119985988
2020/4/14,6961,109,836,6961,945,119985133
2020/4/15,7388,119,884,7388,1003,119984221
2020/4/16,7884,136,918,7884,1054,119983178
2020/4/17,8448,148,995,8448,1143,119981961
2020/4/18,8916,154,1052,8916,1206,119980962
2020/4/19,9215,161,1142,9215,1303,119980267
2020/4/20,9449,171,1222,9449,1393,119979709
2020/4/21,9740,186,1339,9740,1525,119978995
2020/4/22,10082,277,2023,10082,2300,119977536
2020/4/23,10469,287,2391,10469,2678,119976384
2020/4/24,10801,317,2519,10801,2836,119975562
2020/4/25,11046,334,2645,11046,2979,119974929
2020/4/26,11175,348,2798,11175,3146,119974504
2020/4/27,11252,351,2888,11252,3239,119974257
2020/4/28,11427,376,3170,11427,3546,119973600
2020/4/29,11585,389,3357,11585,3746,119973084
2020/4/30,11424,415,3449,11424,3864,119973288
2020/5/1,11558,432,3964,11558,4396,119972488
2020/5/2,11724,458,4194,11724,4652,119971900
2020/5/3,11823,492,4368,11823,4860,119971494
2020/5/4,11935,510,4479,11935,4989,119971141
2020/5/5,11731,521,4570,11731,5091,119971447
2020/5/6,11638,543,4901,11638,5444,119971280
2020/5/7,11286,551,5129,11286,5680,119971748
2020/5/8,6302,600,8110,6302,8710,119978686
2020/5/9,6250,613,8276,6250,8889,119978611
2020/5/10,6074,621,8514,6074,9135,119978717
2020/5/11,5914,643,8903,5914,9546,119978626
2020/5/12,5162,668,9851,5162,10519,119979157
2020/5/13,4732,687,10321,4732,11008,119979528
2020/5/14,4339,710,10792,4339,11502,119979820
2020/5/15,4025,725,11136,4025,11861,119980089
2020/5/16,3787,744,11398,3787,12142,119980284
2020/5/17,3667,749,11547,3667,12296,119980370
2020/5/18,3400,763,11867,3400,12630,119980570
2020/5/19,3009,771,12269,3009,13040,119980942
2020/5/20,2761,777,12655,2761,13432,119981046
2020/5/21,2495,796,12988,2495,13784,119981226
2020/5/22,2293,808,13227,2293,14035,119981379
2020/5/23,2130,820,13396,2130,14216,119981524
2020/5/24,2111,830,13446,2111,14276,119981502
2020/5/25,1939,846,13643,1939,14489,119981633
2020/5/26,1788,858,13806,1788,14664,119981760
2020/5/27,1637,867,13979,1637,14846,119981880
2020/5/28,1556,874,14085,1556,14959,119981929
2020/5/29,1466,886,14237,1466,15123,119981945
2020/5/30,1452,891,14290,1452,15181,119981915
2020/5/31,1436,892,14333,1436,15225,119981903
2020/6/1,1341,894,14481,1341,15375,119981943
2020/6/2,1270,900,14602,1270,15502,119981958
2020/6/3,1207,903,14690,1207,15593,119981993
2020/6/4,1141,907,14795,1141,15702,119982016
2020/6/5,1064,914,14901,1064,15815,119982057
2020/6/6,1042,916,14961,1042,15877,119982039
2020/6/7,1060,916,14970,1060,15886,119981994
2020/6/8,1028,916,15035,1028,15951,119981993
2020/6/9,965,919,15120,965,16039,119982031
2020/6/10,923,920,15200,923,16120,119982034
2020/6/11,854,922,15308,854,16230,119982062
2020/6/12,810,924,15395,810,16319,119982061
2020/6/13,801,925,15451,801,16376,119982022
2020/6/14,819,925,15493,819,16418,119981944
2020/6/15,871,927,15508,871,16435,119981823
2020/6/16,760,931,15657,760,16588,119981892
2020/6/17,712,935,15737,712,16672,119981904
2020/6/18,707,935,15811,707,16746,119981840
2020/6/19,677,952,15880,677,16832,119981814
2020/6/20,711,953,15911,711,16864,119981714
2020/6/21,732,953,15936,732,16889,119981647
2020/6/22,706,955,16007,706,16962,119981626
2020/6/23,698,963,16058,698,17021,119981583
2020/6/24,713,967,16116,713,17083,119981491
2020/6/25,727,968,16188,727,17156,119981390
2020/6/26,757,970,16248,757,17218,119981268
2020/6/27,790,970,16301,790,17271,119981149
2020/6/28,822,971,16353,822,17324,119981032
2020/6/29,869,971,16424,869,17395,119980867
2020/6/30,897,973,16522,897,17495,119980711
2020/7/1,1006,974,16563,1006,17537,119980451
2020/7/2,1105,975,16654,1105,17629,119980161
2020/7/3,1224,976,16747,1224,17723,119979829
2020/7/4,1386,976,16838,1386,17814,119979414
2020/7/5,1550,976,16912,1550,17888,119979012
2020/7/6,1671,977,16981,1671,17958,119978700
2020/7/7,1721,979,17115,1721,18094,119978464
2020/7/8,1776,980,17250,1776,18230,119978218
2020/7/9,1929,981,17436,1929,18417,119977725
2020/7/10,2139,981,17633,2139,18614,119977108
2020/7/11,2339,981,17787,2339,18768,119976554
2020/7/12,2587,981,17887,2587,18868,119975958
2020/7/13,2754,981,18066,2754,19047,119975445
2020/7/14,2789,983,18312,2789,19295,119975127
2020/7/15,2885,984,18580,2885,19564,119974666
2020/7/16,3191,984,18862,3191,19846,119973772
2020/7/17,3560,984,19132,3560,20116,119972764
2020/7/18,3865,984,19342,3865,20326,119971944
2020/7/19,4113,984,19523,4113,20507,119971267
2020/7/20,4345,987,19921,4345,20908,119970402
2020/7/21,4421,988,20403,4421,21391,119969767
2020/7/22,4751,989,20787,4751,21776,119968722
2020/7/23,5369,991,21080,5369,22071,119967191
2020/7/24,5949,992,21319,5949,22311,119965791
2020/7/25,6315,995,21514,6315,22509,119964861
2020/7/26,6573,995,21868,6573,22863,119963991
2020/7/27,6828,997,22560,6828,23557,119962787
2020/7/28,7063,1000,23256,7063,24256,119961618
2020/7/29,7508,1003,23928,7508,24931,119960053
2020/7/30,8062,1005,24678,8062,25683,119958193
2020/7/31,8945,1010,25253,8945,26263,119955847
2020/8/1,9427,1010,25653,9427,26663,119954483
2020/8/2,10422,1011,26234,10422,27245,119951911
2020/8/3,10963,1015,26944,10963,27959,119950115
2020/8/4,11665,1021,27775,11665,28796,119947874
2020/8/5,11910,1025,28624,11910,29649,119946531
2020/8/6,12159,1032,29900,12159,30932,119944750
2020/8/7,12539,1038,31054,12539,32092,119942830
2020/8/8,13011,1039,32059,13011,33098,119940880
2020/8/9,13633,1046,32805,13633,33851,119938883
2020/8/10,13724,1051,33722,13724,34773,119937779
2020/8/11,13610,1058,34635,13610,35693,119937087
2020/8/12,13286,1062,35858,13286,36920,119936508
2020/8/13,13039,1072,37165,13039,38237,119935685
2020/8/14,12976,1084,38600,12976,39684,119934364
2020/8/15,13072,1087,39715,13072,40802,119933054
2020/8/16,13008,1098,40794,13008,41892,119932092
2020/8/17,12767,1114,41853,12767,42967,119931499
2020/8/18,12084,1127,43379,12084,44506,119931326
2020/8/19,11686,1143,44771,11686,45914,119930714
2020/8/20,11709,1154,45938,11709,47092,119929490
2020/8/21,11597,1168,47045,11597,48213,119928593
2020/8/22,11732,1175,47946,11732,49121,119927415
2020/8/23,11718,1180,48716,11718,49896,119926668
2020/8/24,11211,1195,49794,11211,50989,119926589
2020/8/25,10647,1208,51034,10647,52242,119926464
2020/8/26,10306,1225,52169,10306,53394,119925994
2020/8/27,10111,1237,53318,10111,54555,119925223
2020/8/28,9697,1254,54650,9697,55904,119924702
2020/8/29,9696,1263,55471,9696,56734,119923874
2020/8/30,9649,1278,56109,9649,57387,119923315
2020/8/31,9135,1295,57130,9135,58425,119923305
2020/9/1,9108,1306,57735,9108,59041,119922743
2020/9/2,8604,1318,58827,8604,60145,119922647
2020/9/3,8363,1329,59720,8363,61049,119922225
2020/9/4,7957,1348,60726,7957,62074,119922012
2020/9/5,7908,1356,61357,7908,62713,119921471
2020/9/6,7868,1362,61817,7868,63179,119921085
2020/9/7,7439,1376,62563,7439,63939,119921183
2020/9/8,7098,1392,63381,7098,64773,119921031
2020/9/9,6839,1405,64116,6839,65521,119920801
2020/9/10,6761,1411,64871,6761,66282,119920196
2020/9/11,6684,1422,65561,6684,66983,119919649
2020/9/12,6754,1438,66180,6754,67618,119918874
2020/9/13,6841,1441,66504,6841,67945,119918373
2020/9/14,6567,1450,67073,6567,68523,119918343
2020/9/15,6346,1460,67754,6346,69214,119918094
2020/9/16,6174,1472,68473,6174,69945,119917707
2020/9/17,6014,1481,69117,6014,70598,119917374
2020/9/18,6028,1494,69700,6028,71194,119916750
2020/9/19,6026,1499,70231,6026,71730,119916218
2020/9/20,6132,1499,70597,6132,72096,119915640
2020/9/21,6168,1507,70841,6168,72348,119915316
2020/9/22,6125,1511,71174,6125,72685,119915065
2020/9/23,5904,1519,71699,5904,73218,119914974
2020/9/24,5381,1531,72643,5381,74174,119915064
2020/9/25,5260,1539,73304,5260,74843,119914637
2020/9/26,5446,1544,73739,5446,75283,119913825
2020/9/27,5498,1547,74122,5498,75669,119913335
2020/9/28,5373,1556,74589,5373,76145,119913109
2020/9/29,5324,1563,75151,5324,76714,119912638
2020/9/30,5298,1570,75708,5298,77278,119912126
2020/10/1,5320,1577,76327,5320,77904,119911456
2020/10/2,5275,1589,76913,5275,78502,119910948
2020/10/3,5314,1596,77414,5314,79010,119910362
2020/10/4,5401,1598,77698,5401,79296,119909902
2020/10/5,5258,1601,78148,5258,79749,119909735
2020/10/6,5130,1604,78750,5130,80354,119909386
2020/10/7,5056,1612,79301,5056,80913,119908975
2020/10/8,5160,1615,79807,5160,81422,119908258
2020/10/9,5120,1623,80425,5120,82048,119907712
2020/10/10,5292,1626,80893,5292,82519,119906897
2020/10/11,5443,1628,81182,5443,82810,119906304
2020/10/12,5245,1633,81690,5245,83323,119906187
2020/10/13,5162,1637,82223,5162,83860,119905816
2020/10/14,5054,1645,82899,5054,84544,119905348
2020/10/15,5176,1649,83509,5176,85158,119904490
2020/10/16,5205,1660,84088,5205,85748,119903842
2020/10/17,5326,1669,84535,5326,86204,119903144
2020/10/18,5375,1673,84961,5375,86634,119902616
2020/10/19,5174,1675,85518,5174,87193,119902459
2020/10/20,5031,1678,86100,5031,87778,119902160
2020/10/21,5037,1684,86648,5037,88332,119901594
2020/10/22,5067,1693,87227,5067,88920,119900946
2020/10/23,5216,1705,87765,5216,89470,119900098
2020/10/24,5436,1710,88237,5436,89947,119899181
2020/10/25,5503,1717,88658,5503,90375,119898619
2020/10/26,5499,1724,89092,5499,90816,119898186
2020/10/27,5446,1729,89746,5446,91475,119897633
2020/10/28,5642,1732,90251,5642,91983,119896733
2020/10/29,5848,1743,90811,5848,92554,119895750
2020/10/30,6012,1754,91392,6012,93146,119894830
2020/10/31,6246,1765,91877,6246,93642,119893866
2020/11/1,6474,1773,92300,6474,94073,119892979
2020/11/2,6469,1779,92760,6469,94539,119892523
2020/11/3,6634,1785,93192,6634,94977,119891755
